Item Title,Authors,Publication Year,Publication Title,Content Type,Item DOI,URL,Journal Volume,Journal Issue,Book Series Title
Occupant behavior models: A critical review of implementation and representation approaches in building performance simulation programs,Tianzhen HongYixing ChenZsofia BelafiSimona Dâ€™Oca,2018,Building Simulation,Article,10.1007/s12273-017-0396-6,http://link.springer.com/article/10.1007/s12273-017-0396-6,11,1,
"Glyco25, XXV International Symposium on Glycoconjugates",,2019,Glycoconjugate Journal,Article,10.1007/s10719-019-09880-4,http://link.springer.com/article/10.1007/s10719-019-09880-4,36,4,
A BIM-GIS integrated pre-retrofit model for building data mapping,Ã–zgÃ¼r GÃ¶Ã§erYing HuaKenan GÃ¶Ã§er,2016,Building Simulation,Article,10.1007/s12273-016-0293-4,http://link.springer.com/article/10.1007/s12273-016-0293-4,9,5,
"From Smart Grids to Business Intelligence, a Challenge for Bioinspired Systems",Irene MartÃ­n-RubioAntonio E. Florence-SandovalJuan JimÃ©nez-TrilloDiego Andina,2015,Bioinspired Computation in Artificial Systems,Chapter,10.1007/978-3-319-18833-1_46,http://link.springer.com/chapter/10.1007/978-3-319-18833-1_46,,,
"ESMRMB 2015, 32nd Annual Scientific Meeting, Edinburgh, UK, 1-3 October: Abstracts, Thursday",,2015,"Magnetic Resonance Materials in Physics, Biology and Medicine",Article,10.1007/s10334-015-0487-2,http://link.springer.com/article/10.1007/s10334-015-0487-2,28,1,
Big Data & Analytics for Societal Impact: Recent Research and Trends,Ashish GuptaAmit DeokarLakshmi IyerRamesh ShardaDave Schrader,2018,Information Systems Frontiers,Article,10.1007/s10796-018-9846-7,http://link.springer.com/article/10.1007/s10796-018-9846-7,20,2,
"On the influence of building design, occupants and heat waves on comfort and greenhouse gas emissions in naturally ventilated offices. A study based on the EN 15251 adaptive thermal comfort model in Athens, Greece",Astrid RoetzelAris TsangrassoulisUdo DietrichSabine Busching,2010,Building Simulation,Article,10.1007/s12273-010-0002-7,http://link.springer.com/article/10.1007/s12273-010-0002-7,3,2,
Scalable modeling technologies in the wild: an experience report on wind turbines control applications development,Abel GÃ³mezXabier MendialduaKonstantinos BarmpisGÃ¡bor BergmannJordi CabotXabier de CarlosCsaba DebreceniAntonio GarmendiaDimitrios S. KolovosJuan de Lara,2020,Software and Systems Modeling,Article,10.1007/s10270-020-00776-8,http://link.springer.com/article/10.1007/s10270-020-00776-8,,,
Trends and research challenges in remanufacturing,Mitsutaka MatsumotoShanshan YangKristian MartinsenYasutaka Kainuma,2016,International Journal of Precision Engineering and Manufacturing-Green Technology,Article,10.1007/s40684-016-0016-4,http://link.springer.com/article/10.1007/s40684-016-0016-4,3,1,
"9th International Conference Plant Functioning Under Environmental Stress September 12-15, 2012 Cracow Poland",,2012,Acta Physiologiae Plantarum,Article,10.1007/s11738-012-1073-0,http://link.springer.com/article/10.1007/s11738-012-1073-0,34,1,
